var,cat1,cat2
V451,cat_1,cat_3
V452,cat_1,cat_3
V453,cat_1,cat_3
V454,cat_1,cat_3
V455,cat_1,cat_3
V456,cat_1,cat_3
V457,cat_1,cat_3
V458,cat_1,cat_3
V459,cat_1,cat_3
V460,cat_1,cat_3
V461,cat_1,cat_3
V462,cat_1,cat_3
V463,cat_1,cat_3
V464,cat_1,cat_3
V465,cat_1,cat_3
V466,cat_1,cat_3
V467,cat_1,cat_3
V468,cat_1,cat_3
V469,cat_1,cat_3
V470,cat_1,cat_3
V471,cat_1,cat_3
V472,cat_1,cat_3
V473,cat_1,cat_3
V474,cat_1,cat_3
V475,cat_1,cat_3
V476,cat_1,cat_3
V477,cat_1,cat_3
V478,cat_1,cat_3
V479,cat_1,cat_3
V480,cat_1,cat_3
V481,cat_1,cat_3
V482,cat_1,cat_3
V483,cat_1,cat_3
V484,cat_1,cat_3
V485,cat_1,cat_3
V486,cat_1,cat_3
V487,cat_1,cat_3
V488,cat_1,cat_3
V489,cat_1,cat_3
V490,cat_1,cat_3
V491,cat_1,cat_3
V492,cat_1,cat_3
V493,cat_1,cat_3
V494,cat_1,cat_3
V495,cat_1,cat_3
V496,cat_1,cat_3
V497,cat_1,cat_3
V498,cat_1,cat_3
V499,cat_1,cat_3
V500,cat_1,cat_3
V501,cat_1,cat_3
V502,cat_1,cat_3
V503,cat_1,cat_3
V504,cat_1,cat_3
V505,cat_1,cat_3
V506,cat_1,cat_3
V507,cat_1,cat_3
V508,cat_1,cat_3
V509,cat_1,cat_3
V510,cat_1,cat_3
V511,cat_1,cat_3
V512,cat_1,cat_3
V513,cat_1,cat_3
V514,cat_1,cat_3
V515,cat_1,cat_3
V516,cat_1,cat_3
V517,cat_1,cat_3
V518,cat_1,cat_3
V519,cat_1,cat_3
V520,cat_1,cat_3
V521,cat_1,cat_3
V522,cat_1,cat_3
V523,cat_1,cat_3
V524,cat_1,cat_3
V525,cat_1,cat_3
V526,cat_1,cat_3
V527,cat_1,cat_3
V528,cat_1,cat_3
V529,cat_1,cat_3
V530,cat_1,cat_3
V531,cat_1,cat_3
V532,cat_1,cat_3
V533,cat_1,cat_3
V534,cat_1,cat_3
V535,cat_1,cat_3
V536,cat_1,cat_3
V537,cat_1,cat_3
V538,cat_1,cat_3
V539,cat_1,cat_3
V540,cat_1,cat_3
V541,cat_1,cat_3
V542,cat_1,cat_3
V543,cat_1,cat_3
V544,cat_1,cat_3
V545,cat_1,cat_3
V546,cat_1,cat_3
V547,cat_1,cat_3
V548,cat_1,cat_3
V549,cat_1,cat_3
V550,cat_1,cat_3
V551,cat_1,cat_3
V552,cat_1,cat_3
V553,cat_1,cat_3
V554,cat_1,cat_3
V555,cat_1,cat_3
V556,cat_1,cat_3
V557,cat_1,cat_3
V558,cat_1,cat_3
V559,cat_1,cat_3
V560,cat_1,cat_3
V561,cat_1,cat_3
V562,cat_1,cat_3
V563,cat_1,cat_3
V564,cat_1,cat_3
V565,cat_1,cat_3
V566,cat_1,cat_3
V567,cat_1,cat_3
V568,cat_1,cat_3
V569,cat_1,cat_3
V570,cat_1,cat_3
V571,cat_1,cat_3
V572,cat_1,cat_3
V573,cat_1,cat_3
V574,cat_1,cat_3
V575,cat_1,cat_3
V576,cat_1,cat_3
V577,cat_1,cat_3
V578,cat_1,cat_3
V579,cat_1,cat_3
V580,cat_1,cat_3
V581,cat_1,cat_3
V582,cat_1,cat_3
V583,cat_1,cat_3
V584,cat_1,cat_3
V585,cat_1,cat_3
V586,cat_1,cat_3
V587,cat_1,cat_3
V588,cat_1,cat_3
V589,cat_1,cat_3
V590,cat_1,cat_3
V591,cat_1,cat_3
V592,cat_1,cat_3
V593,cat_1,cat_3
V594,cat_1,cat_3
V595,cat_1,cat_3
V596,cat_1,cat_3
V597,cat_1,cat_3
V598,cat_1,cat_3
V599,cat_1,cat_3
V600,cat_1,cat_3
V601,cat_1,cat_3
V602,cat_1,cat_3
V603,cat_1,cat_3
V604,cat_1,cat_3
V605,cat_1,cat_3
V606,cat_1,cat_3
V607,cat_1,cat_3
V608,cat_1,cat_3
V609,cat_1,cat_3
V610,cat_1,cat_3
V611,cat_1,cat_3
V612,cat_1,cat_3
V613,cat_1,cat_3
V614,cat_1,cat_3
V615,cat_1,cat_3
V616,cat_1,cat_3
V617,cat_1,cat_3
V618,cat_1,cat_3
V619,cat_1,cat_3
V620,cat_1,cat_3
V621,cat_1,cat_3
V622,cat_1,cat_3
V623,cat_1,cat_3
V624,cat_1,cat_3
V625,cat_1,cat_3
V626,cat_1,cat_3
V627,cat_1,cat_3
V628,cat_1,cat_3
V629,cat_1,cat_3
V630,cat_1,cat_3
V631,cat_1,cat_3
V632,cat_1,cat_3
V633,cat_1,cat_3
V634,cat_1,cat_3
V635,cat_1,cat_3
V636,cat_1,cat_3
V637,cat_1,cat_3
V638,cat_1,cat_3
V639,cat_1,cat_3
V640,cat_1,cat_3
V641,cat_1,cat_3
V642,cat_1,cat_3
V643,cat_1,cat_3
V644,cat_1,cat_3
V645,cat_1,cat_3
V646,cat_1,cat_3
V647,cat_1,cat_3
V648,cat_1,cat_3
V649,cat_1,cat_3
V650,cat_1,cat_3
V651,cat_1,cat_3
V652,cat_1,cat_3
V653,cat_1,cat_3
V654,cat_1,cat_3
V655,cat_1,cat_3
V656,cat_1,cat_3
V657,cat_1,cat_3
V658,cat_1,cat_3
V659,cat_1,cat_3
V660,cat_1,cat_3
V661,cat_1,cat_3
V662,cat_1,cat_3
V663,cat_1,cat_3
V664,cat_1,cat_3
V665,cat_1,cat_3
V666,cat_1,cat_3
V667,cat_1,cat_3
V668,cat_1,cat_3
V669,cat_1,cat_3
V670,cat_1,cat_3
V671,cat_1,cat_3
V672,cat_1,cat_3
V673,cat_1,cat_3
V674,cat_1,cat_3
V675,cat_1,cat_3
V676,cat_1,cat_3
V677,cat_1,cat_3
V678,cat_1,cat_3
V679,cat_1,cat_3
V680,cat_1,cat_3
V681,cat_1,cat_3
V682,cat_1,cat_3
V683,cat_1,cat_3
V684,cat_1,cat_3
V685,cat_1,cat_3
V686,cat_1,cat_3
V687,cat_1,cat_3
V688,cat_1,cat_3
V689,cat_1,cat_3
V690,cat_1,cat_3
V691,cat_1,cat_3
V692,cat_1,cat_3
V693,cat_1,cat_3
V694,cat_1,cat_3
V695,cat_1,cat_3
V696,cat_1,cat_3
V697,cat_1,cat_3
V698,cat_1,cat_3
V699,cat_1,cat_3
V700,cat_1,cat_3
V701,cat_1,cat_3
V702,cat_1,cat_3
V703,cat_1,cat_3
V704,cat_1,cat_3
V705,cat_1,cat_3
V706,cat_1,cat_3
V707,cat_1,cat_3
V708,cat_1,cat_3
V709,cat_1,cat_3
V710,cat_1,cat_3
V711,cat_1,cat_3
V712,cat_1,cat_3
V713,cat_1,cat_3
V714,cat_1,cat_3
V715,cat_1,cat_3
V716,cat_1,cat_3
V717,cat_1,cat_3
V718,cat_1,cat_3
V719,cat_1,cat_3
V720,cat_1,cat_3
V721,cat_1,cat_3
V722,cat_1,cat_3
V723,cat_1,cat_3
V724,cat_1,cat_3
V725,cat_1,cat_3
V726,cat_1,cat_3
V727,cat_1,cat_3
V728,cat_1,cat_3
V729,cat_1,cat_3
V730,cat_1,cat_3
V731,cat_1,cat_3
V732,cat_1,cat_3
V733,cat_1,cat_3
V734,cat_1,cat_3
V735,cat_1,cat_3
V736,cat_1,cat_3
V737,cat_1,cat_3
V738,cat_1,cat_3
V739,cat_1,cat_3
V740,cat_1,cat_3
V741,cat_1,cat_3
V742,cat_1,cat_3
V743,cat_1,cat_3
V744,cat_1,cat_3
V745,cat_1,cat_3
V746,cat_1,cat_3
V747,cat_1,cat_3
V748,cat_1,cat_3
V749,cat_1,cat_3
V750,cat_1,cat_3
V751,cat_1,cat_3
V752,cat_1,cat_3
V753,cat_1,cat_3
V754,cat_1,cat_3
V755,cat_1,cat_3
V756,cat_1,cat_3
V757,cat_1,cat_3
V758,cat_1,cat_3
V759,cat_1,cat_3
V760,cat_1,cat_3
V761,cat_1,cat_3
V762,cat_1,cat_3
V763,cat_1,cat_3
V764,cat_1,cat_3
V765,cat_1,cat_3
V766,cat_1,cat_3
V767,cat_1,cat_3
V768,cat_1,cat_3
V769,cat_1,cat_3
V770,cat_1,cat_3
V771,cat_1,cat_3
V772,cat_1,cat_3
V773,cat_1,cat_3
V774,cat_1,cat_3
V775,cat_1,cat_3
V776,cat_1,cat_3
V777,cat_1,cat_3
V778,cat_1,cat_3
V779,cat_1,cat_3
V780,cat_1,cat_3
V781,cat_1,cat_3
V782,cat_1,cat_3
V783,cat_1,cat_3
V784,cat_1,cat_3
V785,cat_1,cat_3
V786,cat_1,cat_3
V787,cat_1,cat_3
V788,cat_1,cat_3
V789,cat_1,cat_3
V790,cat_1,cat_3
V791,cat_1,cat_3
V792,cat_1,cat_3
V793,cat_1,cat_3
V794,cat_1,cat_3
V795,cat_1,cat_3
V796,cat_1,cat_3
V797,cat_1,cat_3
V798,cat_1,cat_3
V799,cat_1,cat_3
V800,cat_1,cat_3
V801,cat_1,cat_3
V802,cat_1,cat_3
V803,cat_1,cat_3
V804,cat_1,cat_3
V805,cat_1,cat_3
V806,cat_1,cat_3
V807,cat_1,cat_3
V808,cat_1,cat_3
V809,cat_1,cat_3
V810,cat_1,cat_3
V811,cat_1,cat_3
V812,cat_1,cat_3
V813,cat_1,cat_3
V814,cat_1,cat_3
V815,cat_1,cat_3
V816,cat_1,cat_3
V817,cat_1,cat_3
V818,cat_1,cat_3
V819,cat_1,cat_3
V820,cat_1,cat_3
V821,cat_1,cat_3
V822,cat_1,cat_3
V823,cat_1,cat_3
V824,cat_1,cat_3
V825,cat_1,cat_3
V826,cat_1,cat_3
V827,cat_1,cat_3
V828,cat_1,cat_3
V829,cat_1,cat_3
V830,cat_1,cat_3
V831,cat_1,cat_3
V832,cat_1,cat_3
V833,cat_1,cat_3
V834,cat_1,cat_3
V835,cat_1,cat_3
V836,cat_1,cat_3
V837,cat_1,cat_3
V838,cat_1,cat_3
V839,cat_1,cat_3
V840,cat_1,cat_3
V841,cat_1,cat_3
V842,cat_1,cat_3
V843,cat_1,cat_3
V844,cat_1,cat_3
V845,cat_1,cat_3
V846,cat_1,cat_3
V847,cat_1,cat_3
V848,cat_1,cat_3
V849,cat_1,cat_3
V850,cat_1,cat_3
V851,cat_1,cat_3
V852,cat_1,cat_3
V853,cat_1,cat_3
V854,cat_1,cat_3
V855,cat_1,cat_3
V856,cat_1,cat_3
V857,cat_1,cat_3
V858,cat_1,cat_3
V859,cat_1,cat_3
V860,cat_1,cat_3
V861,cat_1,cat_3
V862,cat_1,cat_3
V863,cat_1,cat_3
V864,cat_1,cat_3
V865,cat_1,cat_3
V866,cat_1,cat_3
V867,cat_1,cat_3
V868,cat_1,cat_3
V869,cat_1,cat_3
V870,cat_1,cat_3
V871,cat_1,cat_3
V872,cat_1,cat_3
V873,cat_1,cat_3
V874,cat_1,cat_3
V875,cat_1,cat_3
V876,cat_1,cat_3
V877,cat_1,cat_3
V878,cat_1,cat_3
V879,cat_1,cat_3
V880,cat_1,cat_3
V881,cat_1,cat_3
V882,cat_1,cat_3
V883,cat_1,cat_3
V884,cat_1,cat_3
V885,cat_1,cat_3
V886,cat_1,cat_3
V887,cat_1,cat_3
V888,cat_1,cat_3
V889,cat_1,cat_3
V890,cat_1,cat_3
V891,cat_1,cat_3
V892,cat_1,cat_3
V893,cat_1,cat_3
V894,cat_1,cat_3
V895,cat_1,cat_3
V896,cat_1,cat_3
V897,cat_1,cat_3
V898,cat_1,cat_3
V899,cat_1,cat_3
V900,cat_1,cat_3
V901,cat_1,cat_3
V902,cat_1,cat_3
V903,cat_1,cat_3
V904,cat_1,cat_3
V905,cat_1,cat_3
V906,cat_1,cat_3
V907,cat_1,cat_3
V908,cat_1,cat_3
V909,cat_1,cat_3
V910,cat_1,cat_3
V911,cat_1,cat_3
V912,cat_1,cat_3
V913,cat_1,cat_3
V914,cat_1,cat_3
V915,cat_1,cat_3
V916,cat_1,cat_3
V917,cat_1,cat_3
V918,cat_1,cat_3
V919,cat_1,cat_3
V920,cat_1,cat_3
V921,cat_1,cat_3
V922,cat_1,cat_3
V923,cat_1,cat_3
V924,cat_1,cat_3
V925,cat_1,cat_3
V926,cat_1,cat_3
V927,cat_1,cat_3
V928,cat_1,cat_3
V929,cat_1,cat_3
V930,cat_1,cat_3
V931,cat_1,cat_3
V932,cat_1,cat_3
V933,cat_1,cat_3
V934,cat_1,cat_3
V935,cat_1,cat_3
